,raw,filled,clean
2024-09-17,215.7857208251953,215.7857208251953,215.7857208251953
2024-09-18,219.66766357421875,219.66766357421875,219.66766357421875
2024-09-19,227.80975341796875,227.80975341796875,227.80975341796875
2024-09-20,227.1428680419922,227.1428680419922,227.1428680419922
2024-09-23,225.42088317871094,225.42088317871094,225.42088317871094
2024-09-24,226.3167266845703,226.3167266845703,226.3167266845703
2024-09-25,225.3213348388672,225.3213348388672,225.3213348388672
2024-09-26,226.46603393554688,226.46603393554688,226.46603393554688
2024-09-27,226.73477172851562,226.73477172851562,226.73477172851562
2024-09-30,231.92063903808594,231.92063903808594,231.92063903808594
2024-10-01,225.162109375,225.162109375,225.162109375
2024-10-02,225.7294464111328,225.7294464111328,225.7294464111328
2024-10-03,224.6245880126953,224.6245880126953,224.6245880126953
2024-10-04,225.74935913085938,225.74935913085938,225.74935913085938
2024-10-07,220.6630401611328,220.6630401611328,220.6630401611328
2024-10-08,224.72412109375,224.72412109375,224.72412109375
2024-10-09,228.47666931152344,228.47666931152344,228.47666931152344
2024-10-10,227.97898864746094,227.97898864746094,227.97898864746094
2024-10-11,226.49588012695312,226.49588012695312,226.49588012695312
2024-10-14,230.228515625,230.228515625,230.228515625
2024-10-15,232.76669311523438,232.76669311523438,232.76669311523438
2024-10-16,230.70628356933594,230.70628356933594,230.70628356933594
2024-10-17,231.07456970214844,231.07456970214844,231.07456970214844
2024-10-18,233.91136169433594,233.91136169433594,233.91136169433594
2024-10-21,235.38450622558594,235.38450622558594,235.38450622558594
2024-10-22,234.76739501953125,234.76739501953125,234.76739501953125
2024-10-23,229.6909942626953,229.6909942626953,229.6909942626953
2024-10-24,229.5019073486328,229.5019073486328,229.5019073486328
2024-10-25,230.33799743652344,230.33799743652344,230.33799743652344
2024-10-28,232.31878662109375,232.31878662109375,232.31878662109375
2024-10-29,232.58753967285156,232.58753967285156,232.58753967285156
2024-10-30,229.03407287597656,229.03407287597656,229.03407287597656
2024-10-31,224.8634796142578,224.8634796142578,224.8634796142578
2024-11-01,221.8773651123047,221.8773651123047,221.8773651123047
2024-11-04,220.98153686523438,220.98153686523438,220.98153686523438
2024-11-05,222.4148712158203,222.4148712158203,222.4148712158203
2024-11-06,221.68824768066406,221.68824768066406,221.68824768066406
2024-11-07,226.42620849609375,226.42620849609375,226.42620849609375
2024-11-08,226.15716552734375,226.15716552734375,226.15716552734375
2024-11-11,223.4368133544922,223.4368133544922,223.4368133544922
2024-11-12,223.4368133544922,223.4368133544922,223.4368133544922
2024-11-13,224.3236541748047,224.3236541748047,224.3236541748047
2024-11-14,227.41270446777344,227.41270446777344,227.41270446777344
2024-11-15,224.2041015625,224.2041015625,224.2041015625
2024-11-18,227.21340942382812,227.21340942382812,227.21340942382812
2024-11-19,227.4724884033203,227.4724884033203,227.4724884033203
2024-11-20,228.18994140625,228.18994140625,228.18994140625
2024-11-21,227.71165466308594,227.71165466308594,227.71165466308594
2024-11-22,229.05686950683594,229.05686950683594,229.05686950683594
2024-11-25,232.04624938964844,232.04624938964844,232.04624938964844
2024-11-26,234.228515625,234.228515625,234.228515625
2024-11-27,234.0989532470703,234.0989532470703,234.0989532470703
2024-11-28,,234.0989532470703,234.0989532470703
2024-11-29,236.490478515625,236.490478515625,236.490478515625
2024-12-02,238.74246215820312,238.74246215820312,238.74246215820312
2024-12-03,241.79165649414062,241.79165649414062,241.79165649414062
2024-12-04,242.150390625,242.150390625,242.150390625
2024-12-05,242.18026733398438,242.18026733398438,242.18026733398438
2024-12-06,241.98097229003906,241.98097229003906,241.98097229003906
2024-12-09,245.8771514892578,245.8771514892578,245.8771514892578
2024-12-10,246.8935546875,246.8935546875,246.8935546875
2024-12-11,245.6180877685547,245.6180877685547,245.6180877685547
2024-12-12,247.08287048339844,247.08287048339844,247.08287048339844
2024-12-13,247.2522735595703,247.2522735595703,247.2522735595703
2024-12-16,250.1519775390625,250.1519775390625,250.1519775390625
2024-12-17,252.58334350585938,252.58334350585938,252.58334350585938
2024-12-18,247.1725616455078,247.1725616455078,247.1725616455078
2024-12-19,248.90640258789062,248.90640258789062,248.90640258789062
2024-12-20,253.58978271484375,253.58978271484375,253.58978271484375
2024-12-23,254.3670196533203,254.3670196533203,254.3670196533203
2024-12-24,257.28668212890625,257.28668212890625,257.28668212890625
2024-12-25,,257.28668212890625,257.28668212890625
2024-12-26,258.1037292480469,258.1037292480469,258.1037292480469
2024-12-27,254.6858673095703,254.6858673095703,254.6858673095703
2024-12-30,251.30787658691406,251.30787658691406,251.30787658691406
2024-12-31,249.5341796875,249.5341796875,249.5341796875
2025-01-01,,249.5341796875,249.5341796875
2025-01-02,242.98741149902344,242.98741149902344,242.98741149902344
2025-01-03,242.49916076660156,242.49916076660156,242.49916076660156
2025-01-06,244.1333465576172,244.1333465576172,244.1333465576172
2025-01-07,241.3532257080078,241.3532257080078,241.3532257080078
2025-01-08,241.84149169921875,241.84149169921875,241.84149169921875
2025-01-09,,241.84149169921875,241.84149169921875
2025-01-10,236.01219177246094,236.01219177246094,236.01219177246094
2025-01-13,233.5708465576172,233.5708465576172,233.5708465576172
2025-01-14,232.45480346679688,232.45480346679688,232.45480346679688
2025-01-15,237.028564453125,237.028564453125,237.028564453125
2025-01-16,227.4525604248047,227.4525604248047,227.4525604248047
2025-01-17,229.1664581298828,229.1664581298828,229.1664581298828
2025-01-20,,229.1664581298828,229.1664581298828
2025-01-21,221.85243225097656,221.85243225097656,221.85243225097656
2025-01-22,223.03823852539062,223.03823852539062,223.03823852539062
2025-01-23,222.86883544921875,222.86883544921875,222.86883544921875
2025-01-24,221.991943359375,221.991943359375,221.991943359375
2025-01-27,229.04690551757812,229.04690551757812,229.04690551757812
2025-01-28,237.4171905517578,237.4171905517578,237.4171905517578
