T,strike,iv_imp,call_price,dC_dT,d2C_dK2,sigma_loc
0.0547945205479452,217.5,,,,,
0.0547945205479452,220.0,0.43071242165493967,27.14999998849561,48.66958286717664,0.0017499986258607658,1.0720184878718015
0.0547945205479452,222.5,,,,,
0.0547945205479452,225.0,0.40924313092392683,22.72499957932925,53.992852413460824,0.0025000151298658624,0.9236964978849488
0.0547945205479452,227.5,,,,,
0.0547945205479452,230.0,0.39100128205040097,18.550000683149477,67.68117362795604,0.004249979584461982,0.7759391779559585
0.0547945205479452,232.5,,,,,
0.0547945205479452,235.0,0.3804045469041616,14.799999745415903,80.60906690166995,0.002750010338407094,1.0303194996351825
0.0547945205479452,237.5,,,,,
0.0547945205479452,240.0,0.3651130528511405,11.324999841523038,92.01601527182446,0.004750005380019217,0.8201407981180792
0.0547945205479452,242.5,,,,,
0.0547945205479452,245.0,0.3520728257810325,8.325000475632095,101.14160549322274,0.005749997272435789,0.7655613784386559
0.0547945205479452,247.5,,,,,
0.0547945205479452,250.0,0.34318748865562676,5.900000836984731,97.33925574507455,0.005499979534479424,0.7525553769146134
0.0547945205479452,252.5,,,,,
0.0547945205479452,255.0,0.33694896975791444,4.024999151785309,87.45325413378445,0.004900024810427295,0.7409069437563501
0.0547945205479452,257.5,,,,,
0.0547945205479452,260.0,0.3323986030742228,2.639999947628617,68.13746050403107,0.004499985981204518,0.66931266211046
0.0547945205479452,262.5,,,,,
0.0547945205479452,265.0,0.33178869866853955,1.7049993415923765,51.10314271228005,0.0032000120271381146,0.6743993189968436
0.0547945205479452,267.5,,,,,
0.0547945205479452,270.0,0.3336452339703738,1.0899999382699477,37.56691970713697,0.0022999948528553207,0.6694075324784816
0.0547945205479452,272.5,,,,,
0.0547945205479452,275.0,0.3384800637643635,0.7050000202330509,26.007810729711288,-4.999189810076729e-05,0.05
0.0547945205479452,280.0,0.34626904817420245,0.47000085941505,17.94693387161626,,
0.0547945205479452,285.0,0.3542945139648915,0.3150009123860773,12.77578628546675,0.0023499882849976838,0.3658736292279015
0.0547945205479452,290.0,0.36713275583541394,0.2300004821172701,9.125540944812535,0.0012999957511532268,0.4085783427298647
0.0547945205479452,295.0,0.3762290188553333,0.16000063303887213,6.692066524221591,0.000800002198819052,0.4384575131469929
0.0547945205479452,300.0,0.3887567205886841,0.11999967993481286,4.562795112157014,0.00045001901567637726,0.4746721967012322
0.0547945205479452,305.0,0.39747449418997766,0.08500057357357216,3.6502319120188216,0.00029999183647513975,0.51147059293783
0.0547945205479452,310.0,0.40141436042165757,0.055000779319993365,2.2813671736088486,0.00039998671739922777,0.34453084814727014
0.0547945205479452,315.0,0.4105219483218193,0.03999969775578616,1.5209420840627486,0.0012000156204322377,0.15983332452820545
0.0547945205479452,320.0,0.4203972438931465,0.03000055044509664,1.3688587009319888,,
0.0547945205479452,325.0,0.5148181348905563,0.11500038398122392,0.6083893902010254,,
0.0547945205479452,330.0,,,,,
0.0547945205479452,335.0,,,,,
0.0547945205479452,340.0,,,,,
0.0547945205479452,345.0,,,,,
0.0547945205479452,355.0,,,,,
0.0547945205479452,360.0,,,,,
0.0547945205479452,370.0,,,,,
0.07397260273972603,90.0,,,,,
0.07397260273972603,95.0,,,,,
0.07397260273972603,100.0,,,,,
0.07397260273972603,110.0,,,,,
0.07397260273972603,115.0,,,,,
0.07397260273972603,120.0,1.169791987660408,125.67500079016507,,,
0.07397260273972603,125.0,,,,,
0.07397260273972603,130.0,,,,,
0.07397260273972603,135.0,,,,,
0.07397260273972603,140.0,0.9748496714929342,105.77499986131977,,,
0.07397260273972603,145.0,,,,,
0.07397260273972603,150.0,0.7046112068257334,95.55000067452525,,,
0.07397260273972603,155.0,,,,,
0.07397260273972603,160.0,,,,,
0.07397260273972603,165.0,0.6695505696880819,80.70000014019047,,,
0.07397260273972603,170.0,,,,,
0.07397260273972603,175.0,,,,,
0.07397260273972603,180.0,,,,,
0.07397260273972603,185.0,,,,,
0.07397260273972603,190.0,0.5214339511142372,55.97500004221294,,,
0.07397260273972603,195.0,0.4947125981592535,51.07499985354687,,,
0.07397260273972603,200.0,0.5128601227012872,46.52499918695949,,-0.0017499787282886814,
0.07397260273972603,205.0,0.4795020919011236,41.6749995884625,,-0.00024999951104092143,
0.07397260273972603,210.0,0.45041473304498203,36.90000045887717,18.251162344529632,,
0.07397260273972603,215.0,0.4269077089282573,32.24999937227403,22.813880091907777,0.04850000027191612,0.142660993679838
0.07397260273972603,217.5,,,,,
0.07397260273972603,220.0,0.4019563155458868,27.67499918327718,27.376688562427876,0.0022500129450909847,0.7090718859791229
0.07397260273972603,222.5,,,,,
0.07397260273972603,225.0,0.3828861112872661,23.325000288789425,31.179001123366007,0.0027499815026149565,0.6692658916191123
0.07397260273972603,227.5,,,,,
0.07397260273972603,230.0,0.36773394306354223,19.249999544563167,37.262668528306804,0.0027500155514920297,0.7157421005538855
0.07397260273972603,232.5,,,,,
0.07397260273972603,235.0,0.3528168406106382,15.450000355486111,31.93946874853915,0.004249979546927701,0.5216960634174488
0.07397260273972603,237.5,,,,,
0.07397260273972603,240.0,0.34162845497752725,12.074999121101825,44.867301804765766,0.005250023397355081,0.5447385534265038
0.07397260273972603,242.5,,,,,
0.07397260273972603,245.0,0.3351742418146729,9.225000226453048,,0.002999989045523821,
0.07397260273972603,247.5,,,,,
0.07397260273972603,250.0,0.3234542573622913,6.675000236356652,44.10682637209326,0.006750006330166938,0.45727325816578285
0.07397260273972603,252.5,,,,,
0.07397260273972603,255.0,0.3204639674377739,4.800000879276951,39.544080418487205,0.0032499797888702634,0.6117517602150065
0.07397260273972603,257.5,,,,,
0.07397260273972603,260.0,0.3135040834709406,3.2499995010842753,34.525028777924625,0.005150025848730521,0.445352577408069
0.07397260273972603,262.5,,,,,
0.07397260273972603,265.0,0.31321067966571453,2.215000707764652,27.832952461057882,0.0032499901389844155,0.49386442253400775
0.07397260273972603,267.5,,,,,
0.07397260273972603,270.0,0.3153996598072946,1.5050009283434704,21.29296047530899,0.002099985499511519,0.5274254835112951
0.07397260273972603,272.5,,,,,
0.07397260273972603,275.0,0.3176784939329028,1.0049996988734407,17.03434425913337,-0.0001999820728834402,0.05
0.07397260273972603,280.0,0.3221142707099318,0.6800000458621405,12.0152800646812,,
0.07397260273972603,285.0,0.33044670035982127,0.48500026211506686,8.821347727434198,0.002799994593099031,0.27852168401869015
0.07397260273972603,290.0,0.33728215965557096,0.340000134007731,5.931623009211057,0.0017500021548146985,0.2839124770448645
0.07397260273972603,295.0,0.34539762844187016,0.24500028466659618,4.562762101126669,0.0013500008825435739,0.2787018608506749
0.07397260273972603,300.0,0.35256597961211206,0.17500043763479134,3.3460412351070037,0.0007999949224011748,0.30487075916419093
0.07397260273972603,305.0,0.36501500323009484,0.14000039547248289,2.585528813578427,0.0003499977542050026,0.3985265142817042
0.07397260273972603,310.0,0.36614868334698675,0.09000023350196917,1.977207917661555,0.0005500070802685397,0.27352393412571807
0.07397260273972603,315.0,0.3759965607872009,0.07000028169886985,2.7376745354410437,0.000299997055600415,0.42888104865681215
0.07397260273972603,320.0,0.38950773896265023,0.06000073739600098,1.2167308180808059,,
0.07397260273972603,325.0,0.380032986524105,0.029999873485298312,-1.9772180559134704,,
0.07397260273972603,330.0,,,,,
0.07397260273972603,335.0,,,,,
0.07397260273972603,340.0,,,,,
0.07397260273972603,345.0,,,,,
0.07397260273972603,355.0,,,,,
0.07397260273972603,360.0,,,,,
0.07397260273972603,370.0,,,,,
0.09315068493150686,90.0,,,,,
0.09315068493150686,95.0,,,,,
0.09315068493150686,100.0,,,,,
0.09315068493150686,110.0,,,,,
0.09315068493150686,115.0,,,,,
0.09315068493150686,120.0,,,,,
0.09315068493150686,125.0,,,,,
0.09315068493150686,130.0,,,,,
0.09315068493150686,135.0,,,,,
0.09315068493150686,140.0,,,,,
0.09315068493150686,145.0,,,,,
0.09315068493150686,150.0,,,,,
0.09315068493150686,155.0,,,,,
0.09315068493150686,160.0,,,,,
0.09315068493150686,165.0,,,,,
0.09315068493150686,170.0,,,,,
0.09315068493150686,175.0,,,,,
0.09315068493150686,180.0,,,,,
0.09315068493150686,185.0,,,,,
