t0,proba_side,proba_meta,side,meta_gate,kelly_unsigned,pos_voltgt,ret_next,pnl_net
2025-05-20,0.9920476056106067,0.5222621914141523,1.0,0.0,0.04452438282830462,0.0,-0.023059121838798324,-5.175092435574233e-05
2025-05-21,0.6925027461876504,0.8429203816946392,1.0,1.0,0.5,0.18971270819604535,-0.0036122485818445016,-0.0007801458152370672
2025-05-22,0.9584900936094561,0.1220169261727467,1.0,0.0,-0.5,-0.0,-0.03024427887573744,-9.485635409802267e-05
2025-05-23,0.9407124762514233,0.9977203155580484,1.0,1.0,0.5,0.1815780274882481,0.0,-9.078901374412406e-05
2025-05-27,0.9131100873883784,0.09058155847850961,1.0,0.0,-0.5,-0.0,0.0010488254734115632,-9.078901374412406e-05
2025-05-30,0.787324587816136,0.3491343978961922,1.0,0.0,-0.30173120420761557,-0.0,0.00423197959474253,-0.0
2025-06-02,0.07512947489905074,0.5584746276030305,-1.0,1.0,0.11694925520606092,-0.04707493379044739,0.007783846649397574,-0.00038996153255061025
2025-06-03,0.12297914499219914,0.6788172333644064,-1.0,1.0,0.3576344667288127,-0.14564964814970838,-0.002213746602105271,0.00027314405650961465
2025-06-05,0.07923331344947128,0.01718878171203071,-1.0,0.0,-0.5,0.0,0.01639826694665114,-7.282482407485419e-05
2025-06-06,0.10996913119409606,0.28816319197794044,-1.0,0.0,-0.42367361604411913,0.0,-0.012112562253018933,-0.0
2025-06-09,0.12842980111461388,0.02406913773218088,-1.0,0.0,-0.5,0.0,0.00605607184084711,0.0
2025-06-10,0.3525417749531456,0.8665146950564372,-1.0,1.0,0.5,-0.2921065361543353,-0.019193760456297837,0.005460569614588048
2025-06-11,0.4933134616881021,0.055685989167283664,-1.0,0.0,-0.5,0.0,0.002112895022762018,-0.00014605326807716766
2025-06-13,0.320078382084768,0.03224711178709489,-1.0,0.0,-0.5,0.0,0.010028031208825672,0.0
2025-06-16,0.7729913635026944,0.20520152029443156,1.0,0.0,-0.5,-0.0,-0.014010719296581597,0.0
2025-06-17,0.9107675662565881,0.4011023368665175,1.0,0.0,-0.19779532626696505,-0.0,0.004804743182752258,-0.0
2025-06-18,0.7833257290795127,0.9839736154180108,1.0,1.0,0.5,0.2962819403646794,0.0,-0.0001481409701823397
2025-06-20,0.10811501123747594,0.8553249010848981,-1.0,1.0,0.5,-0.319400260833177,0.00248757334336136,-0.0011023726753102048
2025-06-24,0.007162273602750058,0.5127199173014281,-1.0,0.0,0.02543983460285615,-0.0,0.0062905831155934955,-0.0001597001304165885
2025-06-25,0.9191330962906139,0.871894007399992,1.0,1.0,0.5,0.3554394059616915,-0.0027783626191049127,-0.0011652592618616653
2025-06-30,0.44715192291470374,0.26678996779278225,-1.0,0.0,-0.4664200644144355,0.0,0.012916154224275056,-0.00017771970298084575
2025-07-01,0.045174654188861754,0.4240984864356638,-1.0,0.0,-0.15180302712867244,0.0,0.022230770203315764,0.0
2025-07-02,0.7127309522992613,0.9992165514415088,1.0,1.0,0.5,0.3097973812148101,0.005225041050401336,0.0014638053435468092
2025-07-03,0.2774940923558606,0.007805387366808067,-1.0,0.0,-0.5,0.0,0.0,-0.00015489869060740505
2025-07-07,0.8754378246265795,0.24382662700104973,1.0,0.0,-0.5,-0.0,0.0002858039892503772,-0.0
2025-07-09,0.8937181587456118,0.07962029297286062,1.0,0.0,-0.5,-0.0,0.006014939675876629,-0.0
2025-07-10,0.9881168620411508,0.08534005638465464,1.0,0.0,-0.5,-0.0,-0.005884835805047839,0.0
2025-07-11,0.4946698018687873,0.005868652797475082,-1.0,0.0,-0.5,0.0,-0.012028812490351148,-0.0
2025-07-14,0.6586980867121051,0.08252496635564747,1.0,0.0,-0.5,-0.0,0.0023488240612374867,-0.0
2025-07-16,0.6690651513864133,0.5655256845325439,1.0,1.0,0.13105136906508785,0.09582999591545643,-0.0006661853268702389,-0.00011175553511064022
2025-07-18,0.006576281919314175,0.7587902702423491,-1.0,1.0,0.5,-0.40343180206120094,0.0061558702516160135,-0.0027331047278527157
2025-07-21,0.9839047271356381,0.6811318774318719,1.0,1.0,0.36226375486374374,0.296408978286749,0.009036182474420285,0.0023284852246815693
2025-07-22,0.5757256250432271,0.9533131722462682,1.0,1.0,0.5,0.4077982197832887,-0.0011660856188711044,-0.0005312222602388007
